Unnamed: 0,question,answer,slide,week,transcript,content type
1,Can you explain this slide?,"This slide introduces Chapter 1, focusing on ""Statistical models and social science."" It introduces the connection between statistical models and social science. It highlights the complexity of social data, the need for aggregate predictability, and the application of AI/ML in various domains like online moderation, advertising, fraud detection, and financial markets.",1,1,in this course we are going to look at certain aspects of how to make sense of human data because data is not always straight so data is not always straight sometimes data is cute and then you know that to make sense of the particular data you know that if you have a question can anybody give an example like an essay data analysis in the real world? what sort of data analysis is big companies? what sort of analysis is it is in the idea? what you face in the real world? just just be some time in terms of the income of citizens so who will be interested in it? the government will be brought here so the U.J. is telling them income of citizens so based on that government will bring its policies and then they will take use and in this particular income line there are many people they need some support so that is good anyone answer from online? so any can anybody online experience the data analysis in real life? yes I think it is everyone had experience from data science is a previous semester because we had that acquisition of management cars and for myself I had some real work experience in text analysis okay you have experience in what field? a natural language process oh a natural language so can you just one or two lines? can you explain to the class what exactly what sort of data you analyzed and then what purpose you analyzed? in my question yeah you need not tell the details but at a high level you can just explain you said natural language was singed right? what sort of data you were collecting? I for natural language processing actually in this task I worked with with structure of web applications and I built some board metrics that convert text to array of list of numbers and develop neural networks for the analysis okay you are converting text to some arrays and then develop neural networks so what is the purpose of the neural network? like yes I appreciate you are going into the little bit detail of that okay you are using the text ultimately for what purpose? your neural network is doing some classification? yes it was classification was boundary specifications it is what I can talk about that we have for example two structure of elements of web application of value applications and neural networks should define its similar or not? okay it was actually a task of boundary classification okay you are doing the binary classification thank you so much so the result is giving this input so it was dealing data in the form of text usually it is a data in the form of income you know so income of residents of New York state so accordingly the state government can plan when the reactivity is open and some needs you know according so there is some text classification so probably one of the things of text classification is their 8th speech so especially these social media accounts you know so they they try to analyze what sort of you know posts you are doing and then immediately whether it falls into the category of killed or it's okay and then you know there is some objectionable thing so accordingly they try to censor it so you know so ultimately the thing is so they are trying to analyze the data every moment another thing like we can see is most of you might have experienced when you are doing some window shopping or online shopping you look for a particular product and then you don't you are not going to take it and you may take it later or you may just add it in the cart and leave it but at the same time you see that after three or four days when you are just browsing you get ads which are relevant to that particular product did you did you experience anything like that anytime so sometimes the ads are you know engineered as per our interest so this is some some sort of social engineering you are doing so this is based on the data they are collecting from our own browsing activities so the idea is there's a huge amount of data and then analyzing the data helps to enlarge each individual's business so that is the main purpose of this data and then we are doing lot of you know modeling of this particular data now the thing is the data whatever we have it's not always smooth and straightforward as it looks so we need to organize it properly for example if you are looking the browsing activity in a particular geographical location of the world so their needs will be different like suppose in all countries now people may be always looking for sweaters but when you are looking in and of dessert climate kind of like tropical countries which are close to equator so they will not be looking like various types of you know jerking and then all those things so when you are trying to understand the patterns buying patterns so you should collect the data accordingly now so the data you should not look for the data in a wrong place so what we are trying to say is data sometimes is skew so that's why whenever we are trying to do some sort of data analysis we should try to pick up our analysis techniques in a right way so I am just setting the precedent for the course so whatever we are discussing so they will be handling these indicate problems in data analysis so with this linear regression both simple and multiple and then these methods logistic regression and then non parameter regression and so on so the idea is these particular data modifications they will help further in machine learning this classifications just like Russell said so he is using some sort of text analysis and then all those things so that will go as an input to neural networks the neural networks are doing some sort of binary classification so similarly you know what is the pre processing data processing needed so that it will help in various classification techniques so that is what we are going to see in the next 8 to 10 models so here is the introduction and then so this is the standard textbook for books John this I have already uploaded a PDF and the Canvas course page is referred to that so that is the book so no need to run with the online videos so that is all not so you can just and then yeah so these are like broadly the distribution of grading every week you will be given an assignment to work on there will be deadlines so that will become according the particular person after the whole period so there will be one final exam that will be in around the first week of May or maybe end of April and yeah so that can be online or it will be hit person that can be at the side and there will be two projects so midterm and midterm project so there will be a presentation it's broadly this the details of midterm and midterm project I will upload after couple of weeks so this is it and then yeah the dates are there yeah you just get a idea of what we are broadly what we will broadly copy in this particular course so any questions still now before we go to the module one okay so let us go to today's discussion I uploaded the slide and lecture notes so you can those are on to see the lecture notes and you know most of your joining up so slide sharing okay I hope you are able to see my PDF whatever I am sharing okay you did right yeah you're able to see the video your name please I wish okay I should be the one yeah okay thank you so yeah today's lecture next half-leave we will be discussing something's left here so you just started with a very nice example that by the way the status gets up needed so you said very nice example that people collect income of the population so that they can plan the values that are activities accordingly how do you think you should copy it or any other similar example would you like to think or I wish by people collect standard those statistics like any other example anybody online also with respect to the social science think of you know demographics gender there are so many other things Professor can I go yeah yeah please so statistics we can use statistics for climate analysis so for gathering gathering the wind wind wind blow percentage and we can predict I mean there is a cyclone or something okay okay let's do this climate modeling so that's good yeah specifically that we say especially related to the society so we can think of something like this like people sometimes say that okay if you want to earn this particular income you know so what is the degree needed so how much education you have they try to map the income okay and sometimes people see that governments they are more what are the concerns for the government yes I wish one is to definitely provide them for activities to be any other any other thing which is which concerns the law income income anything else government is worried about the law enforcement yeah and then so crime rate of the control of the crime rate so government collects this particular data you know like a big cities you know like a very high levels of crime rate and then they try to correlate that particular dependent variable I mean like the crime rate on some observable maybe very okay why this is happening maybe because of lack of resources development or maybe because of poor education so like that so statistics are you know invent even in protocols society and then so there are obviously there are like various factors especially in human and in the accident so as the sites address so there are often multiple you know variables that are influencing the outcome of a particular way they are dependent variable and then there are observable variables so based on the observations we got from various variables a particular factor is influenced so we will be coming to that so often these things are quite complex it's not that that's straightforward correlation is there so how related to this and then we we discussed some of these things like online community moderation like a person is doing the AIDS page or some vulgar things or somebody is trying to influence the decisions like a forward what is the name like they try to push some particular agendas so it's broadly socially generic but especially politicians and government especially before the elections so these friends are quite calm so online community they try to pedal some particular narratives so that's what so I'm not taking sides of any politics but I'm just telling these things to happen okay and then the financial markets how to predict the share price and then blah blah so there is something called a supervised learning and a supervised learning and there is a reinforcement like,summarization
2,What is the chapter's title?,The chapter's title is 'Statistical models and social science'.,1,1,in this course we are going to look at certain aspects of how to make sense of human data because data is not always straight so data is not always straight sometimes data is cute and then you know that to make sense of the particular data you know that if you have a question can anybody give an example like an essay data analysis in the real world? what sort of data analysis is big companies? what sort of analysis is it is in the idea? what you face in the real world? just just be some time in terms of the income of citizens so who will be interested in it? the government will be brought here so the U.J. is telling them income of citizens so based on that government will bring its policies and then they will take use and in this particular income line there are many people they need some support so that is good anyone answer from online? so any can anybody online experience the data analysis in real life? yes I think it is everyone had experience from data science is a previous semester because we had that acquisition of management cars and for myself I had some real work experience in text analysis okay you have experience in what field? a natural language process oh a natural language so can you just one or two lines? can you explain to the class what exactly what sort of data you analyzed and then what purpose you analyzed? in my question yeah you need not tell the details but at a high level you can just explain you said natural language was singed right? what sort of data you were collecting? I for natural language processing actually in this task I worked with with structure of web applications and I built some board metrics that convert text to array of list of numbers and develop neural networks for the analysis okay you are converting text to some arrays and then develop neural networks so what is the purpose of the neural network? like yes I appreciate you are going into the little bit detail of that okay you are using the text ultimately for what purpose? your neural network is doing some classification? yes it was classification was boundary specifications it is what I can talk about that we have for example two structure of elements of web application of value applications and neural networks should define its similar or not? okay it was actually a task of boundary classification okay you are doing the binary classification thank you so much so the result is giving this input so it was dealing data in the form of text usually it is a data in the form of income you know so income of residents of New York state so accordingly the state government can plan when the reactivity is open and some needs you know according so there is some text classification so probably one of the things of text classification is their 8th speech so especially these social media accounts you know so they they try to analyze what sort of you know posts you are doing and then immediately whether it falls into the category of killed or it's okay and then you know there is some objectionable thing so accordingly they try to censor it so you know so ultimately the thing is so they are trying to analyze the data every moment another thing like we can see is most of you might have experienced when you are doing some window shopping or online shopping you look for a particular product and then you don't you are not going to take it and you may take it later or you may just add it in the cart and leave it but at the same time you see that after three or four days when you are just browsing you get ads which are relevant to that particular product did you did you experience anything like that anytime so sometimes the ads are you know engineered as per our interest so this is some some sort of social engineering you are doing so this is based on the data they are collecting from our own browsing activities so the idea is there's a huge amount of data and then analyzing the data helps to enlarge each individual's business so that is the main purpose of this data and then we are doing lot of you know modeling of this particular data now the thing is the data whatever we have it's not always smooth and straightforward as it looks so we need to organize it properly for example if you are looking the browsing activity in a particular geographical location of the world so their needs will be different like suppose in all countries now people may be always looking for sweaters but when you are looking in and of dessert climate kind of like tropical countries which are close to equator so they will not be looking like various types of you know jerking and then all those things so when you are trying to understand the patterns buying patterns so you should collect the data accordingly now so the data you should not look for the data in a wrong place so what we are trying to say is data sometimes is skew so that's why whenever we are trying to do some sort of data analysis we should try to pick up our analysis techniques in a right way so I am just setting the precedent for the course so whatever we are discussing so they will be handling these indicate problems in data analysis so with this linear regression both simple and multiple and then these methods logistic regression and then non parameter regression and so on so the idea is these particular data modifications they will help further in machine learning this classifications just like Russell said so he is using some sort of text analysis and then all those things so that will go as an input to neural networks the neural networks are doing some sort of binary classification so similarly you know what is the pre processing data processing needed so that it will help in various classification techniques so that is what we are going to see in the next 8 to 10 models so here is the introduction and then so this is the standard textbook for books John this I have already uploaded a PDF and the Canvas course page is referred to that so that is the book so no need to run with the online videos so that is all not so you can just and then yeah so these are like broadly the distribution of grading every week you will be given an assignment to work on there will be deadlines so that will become according the particular person after the whole period so there will be one final exam that will be in around the first week of May or maybe end of April and yeah so that can be online or it will be hit person that can be at the side and there will be two projects so midterm and midterm project so there will be a presentation it's broadly this the details of midterm and midterm project I will upload after couple of weeks so this is it and then yeah the dates are there yeah you just get a idea of what we are broadly what we will broadly copy in this particular course so any questions still now before we go to the module one okay so let us go to today's discussion I uploaded the slide and lecture notes so you can those are on to see the lecture notes and you know most of your joining up so slide sharing okay I hope you are able to see my PDF whatever I am sharing okay you did right yeah you're able to see the video your name please I wish okay I should be the one yeah okay thank you so yeah today's lecture next half-leave we will be discussing something's left here so you just started with a very nice example that by the way the status gets up needed so you said very nice example that people collect income of the population so that they can plan the values that are activities accordingly how do you think you should copy it or any other similar example would you like to think or I wish by people collect standard those statistics like any other example anybody online also with respect to the social science think of you know demographics gender there are so many other things Professor can I go yeah yeah please so statistics we can use statistics for climate analysis so for gathering gathering the wind wind wind blow percentage and we can predict I mean there is a cyclone or something okay okay let's do this climate modeling so that's good yeah specifically that we say especially related to the society so we can think of something like this like people sometimes say that okay if you want to earn this particular income you know so what is the degree needed so how much education you have they try to map the income okay and sometimes people see that governments they are more what are the concerns for the government yes I wish one is to definitely provide them for activities to be any other any other thing which is which concerns the law income income anything else government is worried about the law enforcement yeah and then so crime rate of the control of the crime rate so government collects this particular data you know like a big cities you know like a very high levels of crime rate and then they try to correlate that particular dependent variable I mean like the crime rate on some observable maybe very okay why this is happening maybe because of lack of resources development or maybe because of poor education so like that so statistics are you know invent even in protocols society and then so there are obviously there are like various factors especially in human and in the accident so as the sites address so there are often multiple you know variables that are influencing the outcome of a particular way they are dependent variable and then there are observable variables so based on the observations we got from various variables a particular factor is influenced so we will be coming to that so often these things are quite complex it's not that that's straightforward correlation is there so how related to this and then we we discussed some of these things like online community moderation like a person is doing the AIDS page or some vulgar things or somebody is trying to influence the decisions like a forward what is the name like they try to push some particular agendas so it's broadly socially generic but especially politicians and government especially before the elections so these friends are quite calm so online community they try to pedal some particular narratives so that's what so I'm not taking sides of any politics but I'm just telling these things to happen okay and then the financial markets how to predict the share price and then blah blah so there is something called a supervised learning and a supervised learning and there is a reinforcement like,closed_qa
3,What is the key feature of social science mentioned here?,"The key features include:
 1. Too complex to understand every detail (unlike physics, which follows exact rules).
 2. Aggregate predictability (trends can be analyzed at a broader level despite individual unpredictability).",1,1,in this course we are going to look at certain aspects of how to make sense of human data because data is not always straight so data is not always straight sometimes data is cute and then you know that to make sense of the particular data you know that if you have a question can anybody give an example like an essay data analysis in the real world? what sort of data analysis is big companies? what sort of analysis is it is in the idea? what you face in the real world? just just be some time in terms of the income of citizens so who will be interested in it? the government will be brought here so the U.J. is telling them income of citizens so based on that government will bring its policies and then they will take use and in this particular income line there are many people they need some support so that is good anyone answer from online? so any can anybody online experience the data analysis in real life? yes I think it is everyone had experience from data science is a previous semester because we had that acquisition of management cars and for myself I had some real work experience in text analysis okay you have experience in what field? a natural language process oh a natural language so can you just one or two lines? can you explain to the class what exactly what sort of data you analyzed and then what purpose you analyzed? in my question yeah you need not tell the details but at a high level you can just explain you said natural language was singed right? what sort of data you were collecting? I for natural language processing actually in this task I worked with with structure of web applications and I built some board metrics that convert text to array of list of numbers and develop neural networks for the analysis okay you are converting text to some arrays and then develop neural networks so what is the purpose of the neural network? like yes I appreciate you are going into the little bit detail of that okay you are using the text ultimately for what purpose? your neural network is doing some classification? yes it was classification was boundary specifications it is what I can talk about that we have for example two structure of elements of web application of value applications and neural networks should define its similar or not? okay it was actually a task of boundary classification okay you are doing the binary classification thank you so much so the result is giving this input so it was dealing data in the form of text usually it is a data in the form of income you know so income of residents of New York state so accordingly the state government can plan when the reactivity is open and some needs you know according so there is some text classification so probably one of the things of text classification is their 8th speech so especially these social media accounts you know so they they try to analyze what sort of you know posts you are doing and then immediately whether it falls into the category of killed or it's okay and then you know there is some objectionable thing so accordingly they try to censor it so you know so ultimately the thing is so they are trying to analyze the data every moment another thing like we can see is most of you might have experienced when you are doing some window shopping or online shopping you look for a particular product and then you don't you are not going to take it and you may take it later or you may just add it in the cart and leave it but at the same time you see that after three or four days when you are just browsing you get ads which are relevant to that particular product did you did you experience anything like that anytime so sometimes the ads are you know engineered as per our interest so this is some some sort of social engineering you are doing so this is based on the data they are collecting from our own browsing activities so the idea is there's a huge amount of data and then analyzing the data helps to enlarge each individual's business so that is the main purpose of this data and then we are doing lot of you know modeling of this particular data now the thing is the data whatever we have it's not always smooth and straightforward as it looks so we need to organize it properly for example if you are looking the browsing activity in a particular geographical location of the world so their needs will be different like suppose in all countries now people may be always looking for sweaters but when you are looking in and of dessert climate kind of like tropical countries which are close to equator so they will not be looking like various types of you know jerking and then all those things so when you are trying to understand the patterns buying patterns so you should collect the data accordingly now so the data you should not look for the data in a wrong place so what we are trying to say is data sometimes is skew so that's why whenever we are trying to do some sort of data analysis we should try to pick up our analysis techniques in a right way so I am just setting the precedent for the course so whatever we are discussing so they will be handling these indicate problems in data analysis so with this linear regression both simple and multiple and then these methods logistic regression and then non parameter regression and so on so the idea is these particular data modifications they will help further in machine learning this classifications just like Russell said so he is using some sort of text analysis and then all those things so that will go as an input to neural networks the neural networks are doing some sort of binary classification so similarly you know what is the pre processing data processing needed so that it will help in various classification techniques so that is what we are going to see in the next 8 to 10 models so here is the introduction and then so this is the standard textbook for books John this I have already uploaded a PDF and the Canvas course page is referred to that so that is the book so no need to run with the online videos so that is all not so you can just and then yeah so these are like broadly the distribution of grading every week you will be given an assignment to work on there will be deadlines so that will become according the particular person after the whole period so there will be one final exam that will be in around the first week of May or maybe end of April and yeah so that can be online or it will be hit person that can be at the side and there will be two projects so midterm and midterm project so there will be a presentation it's broadly this the details of midterm and midterm project I will upload after couple of weeks so this is it and then yeah the dates are there yeah you just get a idea of what we are broadly what we will broadly copy in this particular course so any questions still now before we go to the module one okay so let us go to today's discussion I uploaded the slide and lecture notes so you can those are on to see the lecture notes and you know most of your joining up so slide sharing okay I hope you are able to see my PDF whatever I am sharing okay you did right yeah you're able to see the video your name please I wish okay I should be the one yeah okay thank you so yeah today's lecture next half-leave we will be discussing something's left here so you just started with a very nice example that by the way the status gets up needed so you said very nice example that people collect income of the population so that they can plan the values that are activities accordingly how do you think you should copy it or any other similar example would you like to think or I wish by people collect standard those statistics like any other example anybody online also with respect to the social science think of you know demographics gender there are so many other things Professor can I go yeah yeah please so statistics we can use statistics for climate analysis so for gathering gathering the wind wind wind blow percentage and we can predict I mean there is a cyclone or something okay okay let's do this climate modeling so that's good yeah specifically that we say especially related to the society so we can think of something like this like people sometimes say that okay if you want to earn this particular income you know so what is the degree needed so how much education you have they try to map the income okay and sometimes people see that governments they are more what are the concerns for the government yes I wish one is to definitely provide them for activities to be any other any other thing which is which concerns the law income income anything else government is worried about the law enforcement yeah and then so crime rate of the control of the crime rate so government collects this particular data you know like a big cities you know like a very high levels of crime rate and then they try to correlate that particular dependent variable I mean like the crime rate on some observable maybe very okay why this is happening maybe because of lack of resources development or maybe because of poor education so like that so statistics are you know invent even in protocols society and then so there are obviously there are like various factors especially in human and in the accident so as the sites address so there are often multiple you know variables that are influencing the outcome of a particular way they are dependent variable and then there are observable variables so based on the observations we got from various variables a particular factor is influenced so we will be coming to that so often these things are quite complex it's not that that's straightforward correlation is there so how related to this and then we we discussed some of these things like online community moderation like a person is doing the AIDS page or some vulgar things or somebody is trying to influence the decisions like a forward what is the name like they try to push some particular agendas so it's broadly socially generic but especially politicians and government especially before the elections so these friends are quite calm so online community they try to pedal some particular narratives so that's what so I'm not taking sides of any politics but I'm just telling these things to happen okay and then the financial markets how to predict the share price and then blah blah so there is something called a supervised learning and a supervised learning and there is a reinforcement like,closed_qa
4,What are some AI/ML applications listed on this slide?,"AI/ML is used in:
 1.Online community moderation (detecting hate speech and misinformation).
 2. Personalization (tailoring recommendations based on user behavior).
 3. Advertising (targeted marketing based on browsing history).
 4. Trading financial markets (predicting stock price trends).
 5. Fraud detection (identifying suspicious financial transactions).
 6. Individualized medicine (predicting disease risks for specific patients).",1,1,in this course we are going to look at certain aspects of how to make sense of human data because data is not always straight so data is not always straight sometimes data is cute and then you know that to make sense of the particular data you know that if you have a question can anybody give an example like an essay data analysis in the real world? what sort of data analysis is big companies? what sort of analysis is it is in the idea? what you face in the real world? just just be some time in terms of the income of citizens so who will be interested in it? the government will be brought here so the U.J. is telling them income of citizens so based on that government will bring its policies and then they will take use and in this particular income line there are many people they need some support so that is good anyone answer from online? so any can anybody online experience the data analysis in real life? yes I think it is everyone had experience from data science is a previous semester because we had that acquisition of management cars and for myself I had some real work experience in text analysis okay you have experience in what field? a natural language process oh a natural language so can you just one or two lines? can you explain to the class what exactly what sort of data you analyzed and then what purpose you analyzed? in my question yeah you need not tell the details but at a high level you can just explain you said natural language was singed right? what sort of data you were collecting? I for natural language processing actually in this task I worked with with structure of web applications and I built some board metrics that convert text to array of list of numbers and develop neural networks for the analysis okay you are converting text to some arrays and then develop neural networks so what is the purpose of the neural network? like yes I appreciate you are going into the little bit detail of that okay you are using the text ultimately for what purpose? your neural network is doing some classification? yes it was classification was boundary specifications it is what I can talk about that we have for example two structure of elements of web application of value applications and neural networks should define its similar or not? okay it was actually a task of boundary classification okay you are doing the binary classification thank you so much so the result is giving this input so it was dealing data in the form of text usually it is a data in the form of income you know so income of residents of New York state so accordingly the state government can plan when the reactivity is open and some needs you know according so there is some text classification so probably one of the things of text classification is their 8th speech so especially these social media accounts you know so they they try to analyze what sort of you know posts you are doing and then immediately whether it falls into the category of killed or it's okay and then you know there is some objectionable thing so accordingly they try to censor it so you know so ultimately the thing is so they are trying to analyze the data every moment another thing like we can see is most of you might have experienced when you are doing some window shopping or online shopping you look for a particular product and then you don't you are not going to take it and you may take it later or you may just add it in the cart and leave it but at the same time you see that after three or four days when you are just browsing you get ads which are relevant to that particular product did you did you experience anything like that anytime so sometimes the ads are you know engineered as per our interest so this is some some sort of social engineering you are doing so this is based on the data they are collecting from our own browsing activities so the idea is there's a huge amount of data and then analyzing the data helps to enlarge each individual's business so that is the main purpose of this data and then we are doing lot of you know modeling of this particular data now the thing is the data whatever we have it's not always smooth and straightforward as it looks so we need to organize it properly for example if you are looking the browsing activity in a particular geographical location of the world so their needs will be different like suppose in all countries now people may be always looking for sweaters but when you are looking in and of dessert climate kind of like tropical countries which are close to equator so they will not be looking like various types of you know jerking and then all those things so when you are trying to understand the patterns buying patterns so you should collect the data accordingly now so the data you should not look for the data in a wrong place so what we are trying to say is data sometimes is skew so that's why whenever we are trying to do some sort of data analysis we should try to pick up our analysis techniques in a right way so I am just setting the precedent for the course so whatever we are discussing so they will be handling these indicate problems in data analysis so with this linear regression both simple and multiple and then these methods logistic regression and then non parameter regression and so on so the idea is these particular data modifications they will help further in machine learning this classifications just like Russell said so he is using some sort of text analysis and then all those things so that will go as an input to neural networks the neural networks are doing some sort of binary classification so similarly you know what is the pre processing data processing needed so that it will help in various classification techniques so that is what we are going to see in the next 8 to 10 models so here is the introduction and then so this is the standard textbook for books John this I have already uploaded a PDF and the Canvas course page is referred to that so that is the book so no need to run with the online videos so that is all not so you can just and then yeah so these are like broadly the distribution of grading every week you will be given an assignment to work on there will be deadlines so that will become according the particular person after the whole period so there will be one final exam that will be in around the first week of May or maybe end of April and yeah so that can be online or it will be hit person that can be at the side and there will be two projects so midterm and midterm project so there will be a presentation it's broadly this the details of midterm and midterm project I will upload after couple of weeks so this is it and then yeah the dates are there yeah you just get a idea of what we are broadly what we will broadly copy in this particular course so any questions still now before we go to the module one okay so let us go to today's discussion I uploaded the slide and lecture notes so you can those are on to see the lecture notes and you know most of your joining up so slide sharing okay I hope you are able to see my PDF whatever I am sharing okay you did right yeah you're able to see the video your name please I wish okay I should be the one yeah okay thank you so yeah today's lecture next half-leave we will be discussing something's left here so you just started with a very nice example that by the way the status gets up needed so you said very nice example that people collect income of the population so that they can plan the values that are activities accordingly how do you think you should copy it or any other similar example would you like to think or I wish by people collect standard those statistics like any other example anybody online also with respect to the social science think of you know demographics gender there are so many other things Professor can I go yeah yeah please so statistics we can use statistics for climate analysis so for gathering gathering the wind wind wind blow percentage and we can predict I mean there is a cyclone or something okay okay let's do this climate modeling so that's good yeah specifically that we say especially related to the society so we can think of something like this like people sometimes say that okay if you want to earn this particular income you know so what is the degree needed so how much education you have they try to map the income okay and sometimes people see that governments they are more what are the concerns for the government yes I wish one is to definitely provide them for activities to be any other any other thing which is which concerns the law income income anything else government is worried about the law enforcement yeah and then so crime rate of the control of the crime rate so government collects this particular data you know like a big cities you know like a very high levels of crime rate and then they try to correlate that particular dependent variable I mean like the crime rate on some observable maybe very okay why this is happening maybe because of lack of resources development or maybe because of poor education so like that so statistics are you know invent even in protocols society and then so there are obviously there are like various factors especially in human and in the accident so as the sites address so there are often multiple you know variables that are influencing the outcome of a particular way they are dependent variable and then there are observable variables so based on the observations we got from various variables a particular factor is influenced so we will be coming to that so often these things are quite complex it's not that that's straightforward correlation is there so how related to this and then we we discussed some of these things like online community moderation like a person is doing the AIDS page or some vulgar things or somebody is trying to influence the decisions like a forward what is the name like they try to push some particular agendas so it's broadly socially generic but especially politicians and government especially before the elections so these friends are quite calm so online community they try to pedal some particular narratives so that's what so I'm not taking sides of any politics but I'm just telling these things to happen okay and then the financial markets how to predict the share price and then blah blah so there is something called a supervised learning and a supervised learning and there is a reinforcement like,information_extraction
5,How is social science contrasted with Newtonian physics?,"Social science is described as too complex to understand every detail, unlike the predictability and structured understanding of Newtonian physics.",1,1,in this course we are going to look at certain aspects of how to make sense of human data because data is not always straight so data is not always straight sometimes data is cute and then you know that to make sense of the particular data you know that if you have a question can anybody give an example like an essay data analysis in the real world? what sort of data analysis is big companies? what sort of analysis is it is in the idea? what you face in the real world? just just be some time in terms of the income of citizens so who will be interested in it? the government will be brought here so the U.J. is telling them income of citizens so based on that government will bring its policies and then they will take use and in this particular income line there are many people they need some support so that is good anyone answer from online? so any can anybody online experience the data analysis in real life? yes I think it is everyone had experience from data science is a previous semester because we had that acquisition of management cars and for myself I had some real work experience in text analysis okay you have experience in what field? a natural language process oh a natural language so can you just one or two lines? can you explain to the class what exactly what sort of data you analyzed and then what purpose you analyzed? in my question yeah you need not tell the details but at a high level you can just explain you said natural language was singed right? what sort of data you were collecting? I for natural language processing actually in this task I worked with with structure of web applications and I built some board metrics that convert text to array of list of numbers and develop neural networks for the analysis okay you are converting text to some arrays and then develop neural networks so what is the purpose of the neural network? like yes I appreciate you are going into the little bit detail of that okay you are using the text ultimately for what purpose? your neural network is doing some classification? yes it was classification was boundary specifications it is what I can talk about that we have for example two structure of elements of web application of value applications and neural networks should define its similar or not? okay it was actually a task of boundary classification okay you are doing the binary classification thank you so much so the result is giving this input so it was dealing data in the form of text usually it is a data in the form of income you know so income of residents of New York state so accordingly the state government can plan when the reactivity is open and some needs you know according so there is some text classification so probably one of the things of text classification is their 8th speech so especially these social media accounts you know so they they try to analyze what sort of you know posts you are doing and then immediately whether it falls into the category of killed or it's okay and then you know there is some objectionable thing so accordingly they try to censor it so you know so ultimately the thing is so they are trying to analyze the data every moment another thing like we can see is most of you might have experienced when you are doing some window shopping or online shopping you look for a particular product and then you don't you are not going to take it and you may take it later or you may just add it in the cart and leave it but at the same time you see that after three or four days when you are just browsing you get ads which are relevant to that particular product did you did you experience anything like that anytime so sometimes the ads are you know engineered as per our interest so this is some some sort of social engineering you are doing so this is based on the data they are collecting from our own browsing activities so the idea is there's a huge amount of data and then analyzing the data helps to enlarge each individual's business so that is the main purpose of this data and then we are doing lot of you know modeling of this particular data now the thing is the data whatever we have it's not always smooth and straightforward as it looks so we need to organize it properly for example if you are looking the browsing activity in a particular geographical location of the world so their needs will be different like suppose in all countries now people may be always looking for sweaters but when you are looking in and of dessert climate kind of like tropical countries which are close to equator so they will not be looking like various types of you know jerking and then all those things so when you are trying to understand the patterns buying patterns so you should collect the data accordingly now so the data you should not look for the data in a wrong place so what we are trying to say is data sometimes is skew so that's why whenever we are trying to do some sort of data analysis we should try to pick up our analysis techniques in a right way so I am just setting the precedent for the course so whatever we are discussing so they will be handling these indicate problems in data analysis so with this linear regression both simple and multiple and then these methods logistic regression and then non parameter regression and so on so the idea is these particular data modifications they will help further in machine learning this classifications just like Russell said so he is using some sort of text analysis and then all those things so that will go as an input to neural networks the neural networks are doing some sort of binary classification so similarly you know what is the pre processing data processing needed so that it will help in various classification techniques so that is what we are going to see in the next 8 to 10 models so here is the introduction and then so this is the standard textbook for books John this I have already uploaded a PDF and the Canvas course page is referred to that so that is the book so no need to run with the online videos so that is all not so you can just and then yeah so these are like broadly the distribution of grading every week you will be given an assignment to work on there will be deadlines so that will become according the particular person after the whole period so there will be one final exam that will be in around the first week of May or maybe end of April and yeah so that can be online or it will be hit person that can be at the side and there will be two projects so midterm and midterm project so there will be a presentation it's broadly this the details of midterm and midterm project I will upload after couple of weeks so this is it and then yeah the dates are there yeah you just get a idea of what we are broadly what we will broadly copy in this particular course so any questions still now before we go to the module one okay so let us go to today's discussion I uploaded the slide and lecture notes so you can those are on to see the lecture notes and you know most of your joining up so slide sharing okay I hope you are able to see my PDF whatever I am sharing okay you did right yeah you're able to see the video your name please I wish okay I should be the one yeah okay thank you so yeah today's lecture next half-leave we will be discussing something's left here so you just started with a very nice example that by the way the status gets up needed so you said very nice example that people collect income of the population so that they can plan the values that are activities accordingly how do you think you should copy it or any other similar example would you like to think or I wish by people collect standard those statistics like any other example anybody online also with respect to the social science think of you know demographics gender there are so many other things Professor can I go yeah yeah please so statistics we can use statistics for climate analysis so for gathering gathering the wind wind wind blow percentage and we can predict I mean there is a cyclone or something okay okay let's do this climate modeling so that's good yeah specifically that we say especially related to the society so we can think of something like this like people sometimes say that okay if you want to earn this particular income you know so what is the degree needed so how much education you have they try to map the income okay and sometimes people see that governments they are more what are the concerns for the government yes I wish one is to definitely provide them for activities to be any other any other thing which is which concerns the law income income anything else government is worried about the law enforcement yeah and then so crime rate of the control of the crime rate so government collects this particular data you know like a big cities you know like a very high levels of crime rate and then they try to correlate that particular dependent variable I mean like the crime rate on some observable maybe very okay why this is happening maybe because of lack of resources development or maybe because of poor education so like that so statistics are you know invent even in protocols society and then so there are obviously there are like various factors especially in human and in the accident so as the sites address so there are often multiple you know variables that are influencing the outcome of a particular way they are dependent variable and then there are observable variables so based on the observations we got from various variables a particular factor is influenced so we will be coming to that so often these things are quite complex it's not that that's straightforward correlation is there so how related to this and then we we discussed some of these things like online community moderation like a person is doing the AIDS page or some vulgar things or somebody is trying to influence the decisions like a forward what is the name like they try to push some particular agendas so it's broadly socially generic but especially politicians and government especially before the elections so these friends are quite calm so online community they try to pedal some particular narratives so that's what so I'm not taking sides of any politics but I'm just telling these things to happen okay and then the financial markets how to predict the share price and then blah blah so there is something called a supervised learning and a supervised learning and there is a reinforcement like,closed_qa
