,Country,Agriculture type,Y2009,Y2019
0,algeria,"almonds, with shell",47393.0,72412.0
1,algeria,apples,267469.0,558830.0
2,algeria,apricots,202876.0,209204.0
3,algeria,artichokes,39535.0,119636.0
4,algeria,bananas,167.0,159.0
5,algeria,barley,2203359.0,1647746.0
6,algeria,"beans, dry",1159.0,1789.0
7,algeria,"beans, green",45096.0,95022.0
8,algeria,"broad beans, horse beans, dry",36495.0,55272.0
9,algeria,cabbages and other brassicas,46788.0,116426.0
10,algeria,carobs,3384.0,3526.0
11,algeria,carrots and turnips,384178.0,419534.0
12,algeria,cauliflowers and broccoli,81880.0,205439.0
13,algeria,cherries,5839.0,11237.0
14,algeria,chick peas,17840.0,40369.0
15,algeria,"chillies and peppers, dry",9145.0,17003.0
16,algeria,"chillies and peppers, green",318949.0,675168.0
17,algeria,cucumbers and gherkins,101786.0,166045.0
18,algeria,dates,600696.0,1136025.0
19,algeria,eggplants (aubergines),76317.0,184145.0
20,algeria,figs,83801.0,114092.0
21,algeria,"fruit, citrus nes",444.0,606.0
22,algeria,"fruit, fresh nes",9348.0,115414.0
23,algeria,"fruit, stone nes",22206.0,29620.0
24,algeria,garlic,59932.0,223311.0
25,algeria,grapefruit (inc. pomelos),1139.0,1691.0
26,algeria,grapes,492525.0,549833.0
27,algeria,"groundnuts, with shell",3057.0,12602.0
28,algeria,lemons and limes,60110.0,87016.0
29,algeria,lentils,2693.0,26524.0
30,algeria,maize,575.0,6368.0
31,algeria,mushrooms and truffles,321.0,1996.0
32,algeria,oats,95712.0,101305.0
33,algeria,olives,475182.0,868754.0
34,algeria,"onions, dry",980160.0,1613729.0
35,algeria,"onions, shallots, green",300.0,371.0
36,algeria,oranges,626091.0,1199535.0
37,algeria,peaches and nectarines,147400.0,201755.0
38,algeria,pears,159997.0,223467.0
39,algeria,"peas, dry",5969.0,12125.0
40,algeria,"peas, green",102971.0,200025.0
41,algeria,plums and sloes,74406.0,113085.0
42,algeria,potatoes,2636057.0,5020249.0
43,algeria,pulses nes,133.0,148.0
44,algeria,"pumpkins, squash and gourds",189887.0,420135.0
45,algeria,quinces,11070.0,12746.0
46,algeria,rapeseed,25228.0,22917.0
47,algeria,"rice, paddy",320.0,229.0
48,algeria,"rice, paddy (rice milled equivalent)",213.0,153.0
49,algeria,seed cotton,57.0,80.0
50,algeria,sorghum,389.0,927.0
