,positions,labels,type
0,"[-0.12392487 -1.34070419 -0.31521257 -0.05216785 -0.57266399 -0.13961722
  0.02760851  0.18464133  0.02261849  0.02779445  0.70719176  0.0198465
 -0.53596937 -0.03434369 -0.09351738 -0.80242957 -0.46209118 -0.68306158
 -0.92325905 -0.25184078 -1.4040285  -0.99752882 -0.17831919 -1.6064487
  0.46269881 -0.08592922 -0.09441149  0.57921984 -0.51482575 -0.74787141
  0.47606976 -0.42809524 -1.31732704  0.42559497 -0.24817788 -1.49684597
 -0.31158477 -1.29149727 -0.35334306 -0.37731052 -0.58906514 -1.75937046
 -0.4391686  -0.11847272 -2.72067663 -0.36823665  0.07196061 -3.10867572
  0.14551414 -1.25421796 -0.44713141  0.48448382 -0.32793194 -1.67212208
  0.40729212 -1.42229277 -2.09022897  0.39488901 -0.91686044 -2.17384175
  0.00627673 -0.00336608 -0.01428215 -1.05384902 -0.13554465 -1.79875294
 -1.06869065 -0.12692191 -1.58524375  0.39534932 -0.21823856 -1.57581012
  0.4278318  -0.11041876 -1.48867194]",1,Rch_Fwr_Bck_LnFwr_R
1,"[-1.24436047e-01 -1.33991196e+00 -3.13581100e-01 -5.64435626e-02
 -5.71951776e-01 -1.28257056e-01  2.35705682e-02  1.87148094e-01
  3.01758692e-02  2.33847840e-02  7.09467014e-01  3.29455843e-02
 -5.38979203e-01 -3.44004193e-02 -8.30774788e-02 -8.00163787e-01
 -4.58256213e-01 -6.77683573e-01 -9.19987746e-01 -2.54774853e-01
 -1.39869768e+00 -9.94181740e-01 -1.77237703e-01 -1.60795674e+00
  4.59708326e-01 -8.56100066e-02 -8.21841012e-02  5.78895602e-01
 -5.15760395e-01 -7.33509589e-01  4.79608289e-01 -4.29448011e-01
 -1.30330302e+00  4.28231262e-01 -2.47609626e-01 -1.48539978e+00
 -3.11477541e-01 -1.29052038e+00 -3.52854002e-01 -3.77764801e-01
 -6.40057963e-01 -1.78215562e+00 -4.39714203e-01 -2.06001123e-01
 -2.75953180e+00 -3.69175933e-01 -1.50908837e-02 -3.14588031e+00
  1.42612708e-01 -1.25477782e+00 -4.38365791e-01  4.79694672e-01
 -3.33318530e-01 -1.66599795e+00  3.94370463e-01 -1.43083070e+00
 -2.05485473e+00  3.83170966e-01 -9.25058190e-01 -2.12190194e+00
  1.36922168e-03 -1.31678564e-03 -3.74853071e-03 -1.04603413e+00
 -1.27076770e-01 -1.80833358e+00 -1.07320555e+00 -1.63762235e-01
 -1.57738421e+00  3.96339556e-01 -2.24394498e-01 -1.57228893e+00
  4.49219540e-01 -1.11965868e-01 -1.47638203e+00]",1,Rch_Fwr_Bck_LnFwr_R
2,"[-1.25023763e-01 -1.34191404e+00 -3.13810078e-01 -5.85797723e-02
 -5.72642696e-01 -1.23391294e-01  2.14029632e-02  1.89691796e-01
  3.61148856e-02  1.89230054e-02  7.12308522e-01  4.49308111e-02
 -5.38142219e-01 -3.47467227e-02 -9.64783640e-02 -8.04589846e-01
 -4.63122276e-01 -6.85967469e-01 -9.18145356e-01 -2.57252473e-01
 -1.39910892e+00 -9.96086969e-01 -1.77651450e-01 -1.60765423e+00
  4.60486945e-01 -8.58945921e-02 -8.53568230e-02  5.79858340e-01
 -5.19338975e-01 -7.35488017e-01  5.08265827e-01 -4.68651072e-01
 -1.41963144e+00  4.31124946e-01 -2.78178557e-01 -1.50110988e+00
 -3.12308802e-01 -1.29224378e+00 -3.53704682e-01 -3.78135828e-01
 -6.45290423e-01 -1.78675155e+00 -4.39748604e-01 -2.13795509e-01
 -2.76655053e+00 -3.66251402e-01 -2.19130643e-02 -3.15309642e+00
  1.41698241e-01 -1.25757756e+00 -4.36619363e-01  4.77566016e-01
 -3.35992265e-01 -1.66699725e+00  3.92498321e-01 -1.43433534e+00
 -2.05098933e+00  3.81179661e-01 -9.28455989e-01 -2.12899016e+00
 -1.03650323e-03  2.43261175e-04  2.76872333e-03 -1.02599002e+00
 -1.23590953e-01 -1.81882482e+00 -1.06787619e+00 -1.29022976e-01
 -1.60579426e+00  4.01425529e-01 -2.11475109e-01 -1.56030270e+00
  4.75803005e-01 -1.07183164e-01 -1.49905868e+00]",1,Rch_Fwr_Bck_LnFwr_R
3,"[-1.25658847e-01 -1.34055302e+00 -3.22606789e-01 -5.91023123e-02
 -5.72267170e-01 -1.23063445e-01  1.97174367e-02  1.91377827e-01
  4.00479178e-02  1.49780498e-02  7.12885139e-01  5.39091323e-02
 -5.38335612e-01 -3.48486821e-02 -9.61751667e-02 -8.05039485e-01
 -4.62332145e-01 -6.86106204e-01 -9.15758869e-01 -2.58805480e-01
 -1.39788079e+00 -9.93284008e-01 -1.76720380e-01 -1.60641029e+00
  4.60328202e-01 -8.57844637e-02 -8.74497448e-02  5.79995917e-01
 -5.21132834e-01 -7.36019162e-01  4.78721931e-01 -4.32163321e-01
 -1.30573015e+00  4.31042027e-01 -2.49995419e-01 -1.48152815e+00
 -3.11619863e-01 -1.29000183e+00 -3.67651020e-01 -3.76313352e-01
 -6.43065821e-01 -1.80063750e+00 -4.37126697e-01 -2.11684477e-01
 -2.78026317e+00 -3.64017633e-01 -1.73808761e-02 -3.16556646e+00
  1.40488011e-01 -1.25665479e+00 -4.40452434e-01  4.76952367e-01
 -3.34373644e-01 -1.66993947e+00  3.91620560e-01 -1.43499703e+00
 -2.04727258e+00  3.79913294e-01 -9.30128905e-01 -2.13764983e+00
 -2.45093717e-03  1.41986348e-03  5.66373050e-03 -1.03623483e+00
 -1.26518470e-01 -1.80720245e+00 -1.06069935e+00 -6.29612573e-02
 -1.66535317e+00  4.02433955e-01 -2.13859439e-01 -1.56654181e+00
  4.38173448e-01 -1.11503700e-01 -1.47448999e+00]",1,Rch_Fwr_Bck_LnFwr_R
4,"[-1.25710744e-01 -1.34063962e+00 -3.22394000e-01 -5.99331239e-02
 -5.71715683e-01 -1.20819158e-01  1.78225961e-02  1.93472482e-01
  4.40120809e-02  1.18230889e-02  7.13983209e-01  6.10888127e-02
 -5.38535203e-01 -3.49570393e-02 -9.59043154e-02 -8.05399117e-01
 -4.60438431e-01 -6.87316521e-01 -9.16002181e-01 -2.59308005e-01
 -1.39637356e+00 -9.95597156e-01 -1.76927062e-01 -1.60781377e+00
  4.60143590e-01 -8.59586456e-02 -8.96190748e-02  5.79614567e-01
 -5.23906787e-01 -7.36267898e-01  4.78773297e-01 -4.31067369e-01
 -1.30547045e+00  4.32132611e-01 -2.47016218e-01 -1.47991549e+00
 -3.11533392e-01 -1.29002216e+00 -3.67629505e-01 -3.71462886e-01
 -6.43871756e-01 -1.80116593e+00 -4.28956270e-01 -2.13161453e-01
 -2.78097162e+00 -3.56393849e-01 -1.80346686e-02 -3.16630853e+00
  1.40396075e-01 -1.25675780e+00 -4.40045736e-01  4.74678662e-01
 -3.35403735e-01 -1.67078823e+00  3.91355773e-01 -1.43496437e+00
 -2.04709154e+00  3.79458107e-01 -9.30032146e-01 -2.13954551e+00
 -4.16141784e-03  3.02181053e-03  9.60559216e-03 -1.01590045e+00
 -1.26111228e-01 -1.82543101e+00 -1.09262927e+00 -1.46330336e-01
 -1.61782226e+00  4.03479849e-01 -1.98894420e-01 -1.55917644e+00
  4.29416715e-01 -1.14562425e-01 -1.46474085e+00]",1,Rch_Fwr_Bck_LnFwr_R
5,"[-0.12576607 -1.34059657 -0.32138624 -0.06077696 -0.57076295 -0.11818654
  0.01671393  0.19561323  0.04606352  0.00825872  0.71559406  0.06739849
 -0.53872789 -0.03509269 -0.09564606 -0.80532231 -0.46025872 -0.68719762
 -0.91448912 -0.25927033 -1.39589343 -0.99310546 -0.17755452 -1.60424186
  0.45998015 -0.08572469 -0.09132756  0.57955798 -0.52496748 -0.73677911
  0.47835991 -0.43050572 -1.30553358  0.43417744 -0.24478    -1.48359449
 -0.31146869 -1.28990255 -0.36684749 -0.37100737 -0.64413009 -1.80021568
 -0.42821715 -0.21378777 -2.77967556 -0.35622505 -0.01848167 -3.16511955
  0.14011227 -1.25674741 -0.43828903  0.47324962 -0.33672899 -1.66993406
  0.39124959 -1.43460824 -2.04663007  0.38061972 -0.92805237 -2.12099688
 -0.00524292  0.00478666  0.01201865 -1.05845201 -0.12930362 -1.79592109
 -1.0454046  -0.11377711 -1.56732559  0.4074081  -0.226378   -1.58969676
  0.49982459 -0.11698649 -1.48129964]",1,Rch_Fwr_Bck_LnFwr_R
6,"[-0.12737061 -1.34152973 -0.31571875 -0.06321501 -0.56998492 -0.11275195
  0.01474171  0.19754086  0.04860402  0.00617784  0.71685118  0.07113112
 -0.54245729 -0.035901   -0.08511702 -0.8035917  -0.45727419 -0.68233635
 -0.91461904 -0.2597595  -1.39359823 -0.99608043 -0.17741469 -1.60598545
  0.45635591 -0.08421104 -0.07892623  0.57676817 -0.51969544 -0.72682896
  0.48140615 -0.43398808 -1.2978287   0.43480227 -0.24842585 -1.4828002
 -0.31183232 -1.28957015 -0.36573161 -0.37186079 -0.64375853 -1.79876982
 -0.42940356 -0.21348767 -2.77776221 -0.35711682 -0.01885406 -3.16363088
  0.13593036 -1.26085365 -0.42256981  0.46854026 -0.34609694 -1.65793792
  0.3910121  -1.43435772 -2.04633647  0.3792845  -0.92828295 -2.12954292
 -0.0073708   0.00641611  0.01538587 -1.06078437 -0.13239156 -1.79182988
 -1.06643747 -0.11919131 -1.59007459  0.40283033 -0.22927828 -1.59309567
  0.44300044 -0.1115114  -1.47825229]",1,Rch_Fwr_Bck_LnFwr_R
7,"[-0.12680285 -1.34214231 -0.31378196 -0.06378436 -0.56938723 -0.11075453
  0.01320686  0.19958264  0.04976203  0.00469694  0.71787231  0.07299637
 -0.54431986 -0.03620695 -0.08165776 -0.80355074 -0.45659892 -0.6810923
 -0.91462679 -0.26064962 -1.39299668 -0.99584485 -0.17751284 -1.60706899
  0.45452394 -0.08369605 -0.07418491  0.57615106 -0.51778022 -0.72334787
  0.48270052 -0.43552905 -1.29542637  0.43606729 -0.24484318 -1.48288178
 -0.31141079 -1.29038927 -0.36352942 -0.37131199 -0.64484855 -1.79750865
 -0.42876047 -0.21488482 -2.77690268 -0.35616973 -0.0203254  -3.16330971
  0.13665546 -1.26097654 -0.42149927  0.4687579  -0.34665942 -1.6582819
  0.39188954 -1.43552753 -2.04640311  0.38018066 -0.9291331  -2.13215014
 -0.0086364   0.00797122  0.01686903 -1.05824784 -0.12918594 -1.80054106
 -1.07828239 -0.1878279  -1.56676667  0.40895172 -0.19667955 -1.56011818
  0.43012211 -0.11254258 -1.46790117]",1,Rch_Fwr_Bck_LnFwr_R
8,"[-0.12658973 -1.34160865 -0.31187864 -0.06415701 -0.56863428 -0.11005828
  0.0119433   0.20149562  0.04875142  0.00332042  0.71880292  0.07376395
 -0.54394988 -0.03589854 -0.08323518 -0.80348013 -0.45684992 -0.68141073
 -0.91418019 -0.26074266 -1.39023561 -0.99437242 -0.17782386 -1.60436927
  0.45492804 -0.08325787 -0.08317181  0.57664539 -0.5213297  -0.72878831
  0.48103835 -0.43280745 -1.2992603   0.44005624 -0.25062508 -1.48374088
 -0.3110818  -1.29005394 -0.36060861 -0.37078333 -0.64563159 -1.7940621
 -0.42807122 -0.21654449 -2.77285746 -0.35767849 -0.02251399 -3.1594568
  0.13668439 -1.26019176 -0.42066787  0.46758633 -0.34764333 -1.65789365
  0.39190681 -1.43462089 -2.04563702  0.37983554 -0.928398   -2.13243422
 -0.00955575  0.00929325  0.01660046 -1.06618415 -0.13191054 -1.79059436
 -1.05698331 -0.11776581 -1.58630668  0.41412514 -0.21549742 -1.57527512
  0.43809475 -0.1131958  -1.47185022]",1,Rch_Fwr_Bck_LnFwr_R
9,"[-1.25856062e-01 -1.34104690e+00 -3.12424052e-01 -6.42833238e-02
 -5.68001415e-01 -1.10353187e-01  1.09562781e-02  2.02738642e-01
  4.75319963e-02  2.33564002e-03  7.19763452e-01  7.33659781e-02
 -5.43429753e-01 -3.55220879e-02 -8.53379223e-02 -8.03570748e-01
 -4.57332170e-01 -6.82099931e-01 -9.28987792e-01 -2.62231480e-01
 -1.38183521e+00 -9.93176557e-01 -1.77692057e-01 -1.60207519e+00
  4.55444868e-01 -8.27977847e-02 -8.91459993e-02  5.76339013e-01
 -5.22185867e-01 -7.33562092e-01  4.80031791e-01 -4.31148747e-01
 -1.30331282e+00  4.42379138e-01 -2.48573678e-01 -1.48820491e+00
 -3.10327323e-01 -1.28959282e+00 -3.60924280e-01 -3.69342671e-01
 -6.45044789e-01 -1.79372578e+00 -4.26139128e-01 -2.15971419e-01
 -2.77184759e+00 -3.56843415e-01 -2.19871764e-02 -3.15851763e+00
  1.37652858e-01 -1.25910885e+00 -4.22096587e-01  4.67994703e-01
 -3.47041466e-01 -1.65909563e+00  3.92643005e-01 -1.43441860e+00
 -2.04476038e+00  3.80133262e-01 -9.28776048e-01 -2.13830280e+00
 -1.02845450e-02  1.03091706e-02  1.57327806e-02 -1.06282139e+00
 -1.24041374e-01 -1.79352647e+00 -1.06751661e+00 -1.40125326e-01
 -1.58036498e+00  4.13849162e-01 -2.13819330e-01 -1.58723147e+00
  4.42746399e-01 -1.11685149e-01 -1.47399462e+00]",1,Rch_Fwr_Bck_LnFwr_R
